name	Host	Year	ST	Serotype
AUSMDU00048375	Human	2020	131	O25:H4
AUSMDU00021640	Human	2018	131	O25:H4
AUSMDU00019175	Human	2018	131	O25:H4
AUSMDU00009582	Human	2017	131	O25:H4
AUSMDU00017427	Human	2018	131	O25:H4
AUSMDU00018477	Human	2018	131	O25:H4
AUSMDU00007297	Human	2017	131	O25:H4
AUSMDU00017430	Human	2018	131	O25:H4
AUSMDU00011824	Human	2018	131	O25:H4
AUSMDU00021246	Human	2018	131	O25:H4
AUSMDU00016899	Human	2018	131	O25:H4
AUSMDU00016922	Human	2018	131	O25:H4
AUSMDU00048244	Human	2020	131	O25:H4
AUSMDU00067527	Human	2022	131	O25:H4
AUSMDU00017142	Human	2018	131	O25:H4
AUSMDU00017425	Human	2018	131	O25:H4
AUSMDU00016454	Human	2018	131	O25:H4
AUSMDU00065273	Human	2021	131	O25:H4
AUSMDU00016005	Human	2018	131	O25:H4
AUSMDU00067497	Human	2022	131	O25:H4
AUSMDU00021046	Human	2018	131	O25:H4
AUSMDU00048703	Human	2020	131	O25:H4
AUSMDU00015999	Human	2018	131	O25:H4
AUSMDU00039343	Human	2019	131	O25:H4
AUSMDU00060808	Human	2021	131	O25:H4
AUSMDU00067243	Human	2021	131	O25:H4
AUSMDU00065919	Human	2021	131	O25:H4
AUSMDU00063653	Human	2021	131	O25:H4
AUSMDU00017844	Human	2017	131	O25:H4
AUSMDU00017429	Human	2018	131	O25:H4
AUSMDU00070156	Human	2017	131	O25:H4
AUSMDU00046788	Human	2020	131	O25:H4
AUSMDU00070166	Human	2019	131	O25:H4
AUSMDU00038476	Human	2019	131	O25:H4
AUSMDU00038475	Human	2019	131	O25:H4
AUSMDU00008531	Human	2017	131	O25:H4
AUSMDU00064933	Human	2021	131	O25:H4
AUSMDU00018542	Human	2018	131	O25:H4
AUSMDU00010462	Human	2017	131	O25:H4
AUSMDU00015266	Human	2018	131	O25:H4
AUSMDU00047849	Human	2020	131	O25:H4
AUSMDU00021241	Human	2018	131	O25:H4
AUSMDU00031978-B	Human	2019	131	O25:H4
AUSMDU00011173	Human	2017	131	O25:H4
AUSMDU00017147	Human	2018	131	O25:H4
AUSMDU00058243	Human	2021	131	O25:H4
AUSMDU00057100	Human	2021	131	O25:H4
AUSMDU00064126	Human	2021	131	O25:H4
AUSMDU00059974	Human	2021	131	O25:H4
AUSMDU00056202	Human	2021	131	O25:H4
AUSMDU00060229	Human	2021	131	O25:H4
AUSMDU00041915	Human	2020	2279	O25:H4
AUSMDU00065571	Human	2021	131	O25:H4
AUSMDU00064242	Human	2021	131	O16:H5
AUSMDU00065546	Human	2021	131	O16:H5
AUSMDU00021674	Human	2018	131	O16:H5
AUSMDU00015628	Human	2017	131	O16:H5
AUSMDU00045655	Human	2020	131	O16:H5
AUSMDU00049654	Human	2020	131	O16:H5
AUSMDU00038265	Human	2019	131	O16:H5
AUSMDU00061620	Human	2021	131	O16:H5
AUSMDU00061258	Human	2021	131	O16:H5
AUSMDU00063680	Human	2021	131	O16:H5
AUSMDU00067511	Human	2022	131	O16:H5
AUSMDU00037771	Human	2019	131	O16:H5
AUSMDU00056156	Environmental	2021	131	O16:H5
AUSMDU00047571	Human	2020	131	O16:H5
AUSMDU00045888	Human	2020	131	O16:H5
AUSMDU00032164	Human	2019	131	O16:H5
AUSMDU00022398	Human	2018	131	O16:H5
AUSMDU00049642	Human	2020	131	O16:H5
AUSMDU00045844	Human	2020	131	O16:H5
AUSMDU00046697	Human	2020	1597	O39:H4
AUSMDU00060101	Human	2021	38	O1:H15
AUSMDU00018796	Human	2018	38	O1:H15
AUSMDU00035030	Human	2019	5150	O1:H15
AUSMDU00035704	Human	2019	5150	O1:H15
AUSMDU00003549	Human	2014	38	O2/O50:H30
AUSMDU00046484	Human	2020	38	O86:H18
AUSMDU00047247	Human	2020	38	O86:H18
AUSMDU00007525	Human	2017	38	O86:H18
AUSMDU00026065	Human	2019	38	O99:H30
AUSMDU00061581	Human	2021	38	-:H18
AUSMDU00041685	Human	2020	315	O153:H30
AUSMDU00048360	Human	2020	38	O1:H15
AUSMDU00016015	Human	2018	963	-:H18
AUSMDU00004933	Human	2016	963	-:H18
AUSMDU00062348	Human	2021	963	-:H18
AUSMDU00021229	Human	2018	963	-:H18
AUSMDU00048962	Human	2020	963	-:H18
AUSMDU00015631	Human	2018	405	O102:H6
AUSMDU00051238	Human	2020	405	O102:H6
AUSMDU00067067	Human	2021	405	O102:H6
AUSMDU00055418	Human	2020	405	O102:H6
AUSMDU00058136	Human	2021	405	O102:H6
AUSMDU00019970	Human	2018	405	O102:H6
AUSMDU00041492	Human	2020	405	O102:H6
AUSMDU00051494	Human	2020	405	O102:H6
AUSMDU00047807	Human	2020	405	O102:H6
AUSMDU00046588	Human	2020	405	O102:H6
AUSMDU00037994	Human	2019	405	O102:H6
AUSMDU00049665	Human	2020	405	O102:H6
AUSMDU00067152	Human	2021	405	O102:H6
AUSMDU00070164	Human	2013	405	O102:H6
AUSMDU00022970	Human	2018	405	O102:H6
AUSMDU00016021	Human	2018	405	O102:H6
AUSMDU00007343	Human	2017	405	O102:H6
AUSMDU00070152	Human	2015	349	O86:H2
AUSMDU00062084	Human	2021	69	O77/O17/O44/O106:H18
AUSMDU00067906	Human	2022	69	O15:H18
AUSMDU00057170	Human	2021	69	O15:H18
AUSMDU00042652	Human	2020	69	O15:H18
AUSMDU00063941	Human	2021	69	O77/O17/O44/O106:H18
AUSMDU00056122	Human	2021	69	O25:H18
AUSMDU00019334	Human	2018	69	O77/O17/O44/O106/O73:H18
AUSMDU00048442	Human	2020	69	O25:H18
AUSMDU00048437	Human	2020	69	O77/O17/O44/O106:H18
AUSMDU00030350	Human	2019	69	O25:H18
AUSMDU00059811	Human	2021	69	O77/O17/O44/O106/O73:H18
AUSMDU00059289	Human	2021	69	O17/O77/O44/O106:H18
AUSMDU00022937	Human	2018	69	O77/O17/O44/O106/O73:H18
AUSMDU00008507	Human	2017	394	O17/O77/O44/O106:H18
AUSMDU00032553	Human	2019	393	O15:H1
AUSMDU00036961	Human	2014	-	O124:H24
AUSMDU00057153	Human	2021	6361	O52:H45
AUSMDU00013460	Human	2018	4225	O118/O151:H28
AUSMDU00045873	Human	2020	1011	O119:H16
AUSMDU00005210	Human	2016	335	O55:H7
AUSMDU00070159	Human	2015	11	O157:H7
AUSMDU00017735	Human	2018	3018	-:H41
AUSMDU00035563	Human	2019	224	O9:H30
AUSMDU00066087	Human	2021	1304	O168:H7
AUSMDU00070145	Human	2007	1086	O8:H14
AUSMDU00056419	Human	2021	-	O160:H8
AUSMDU00046352	Human	2020	1423	O112:H28
AUSMDU00047256	Human	2020	205	O100:H12
AUSMDU00037794	Environmental	2019	8346	O64:H10
AUSMDU00047233	Human	2020	156	O54:H28
AUSMDU00046911	Human	2020	156	O54:H28
AUSMDU00023713	Human	2018	156	O142:H30
AUSMDU00008742	Human	2017	156	-:H25
AUSMDU00020038	Human	2018	156	O76:H25
AUSMDU00051000	Human	2020	156	-:H28
AUSMDU00007302	Human	2017	156	O100:H28
AUSMDU00070149	Human	2013	164	O45:H42
AUSMDU00011487	Human	2017	101	O91:H31
AUSMDU00024109	Human	2018	58	-:H21
AUSMDU00016863	Human	2018	155	O86:H51
AUSMDU00038299	Human	2012	17	O45:H2
AUSMDU00063299	Human	2021	-	O108:H7
AUSMDU00070147	Human	2005	21	O26:H11
AUSMDU00070146	Human	2011	21	O26:H11
AUSMDU00070148	Human	2012	21	O26:H11
AUSMDU00070144	Food	2014	21	O26:H11
AUSMDU00037150	Human	2019	4550	O103:H8
AUSMDU00038878	Human	2019	6196	-:H12
AUSMDU00056574	Human	2021	410	O131:H9
AUSMDU00056150	Human	2021	410	O131:H9
AUSMDU00065146	Human	2021	410	-:H9
AUSMDU00017428	Human	2018	410	O8:H21
AUSMDU00066914	Human	2021	410	O8:H21
AUSMDU00004632	Environmental	2016	410	O8:H21
AUSMDU00047622	Human	2020	-	O8:H21
AUSMDU00046798	Human	2020	-	O8:H21
AUSMDU00067871	Human	2022	410	O8:H9
AUSMDU00058950	Human	2021	88	O8:H19
AUSMDU00036962	Human	2014	311	O28/O42:H7
AUSMDU00031002	Human	2019	270	O28/O42:H7
AUSMDU00036958	Human	2014	270	-:H7
AUSMDU00034264	Human	2019	226	-:H4
AUSMDU00035685	Human	2019	1178	O130:H26
AUSMDU00044049	Human	2020	7458	O182:H38
AUSMDU00034796	Human	2019	48	O151/O118:H11
AUSMDU00024021	Human	2018	1312	O21:H16
AUSMDU00007870	Human	2017	10	O124:H25
AUSMDU00042437	Human	2020	10	O45:H11
AUSMDU00066304	Human	2021	10	O8:H17
AUSMDU00039105	Human	2019	10	O16:H4
AUSMDU00046205	Human	2020	10	-:H4
AUSMDU00030690	Human	2019	1286	-:H4
AUSMDU00040860	Human	2020	10	-:H4
AUSMDU00039055	Human	2019	10	-:H4
AUSMDU00060073	Human	2021	10	O11:H4
AUSMDU00044749	Human	2020	7368	O21:H4
AUSMDU00039407	Human	2019	7368	O21:H4
AUSMDU00070165	Human	2019	10	O43:H19
AUSMDU00059402	Human	2021	10	O100:H32
AUSMDU00034620	Human	2019	10	O29:H21
AUSMDU00070160	Human	2017	10	O117/O107:H32
AUSMDU00035516	Human	2019	6271	O21:H10
AUSMDU00032222	Human	2019	6271	O21:H10
AUSMDU00065767	Human	2021	10	O9:H9
AUSMDU00065381	Human	2021	10	O9:H9
AUSMDU00008540	Human	2017	10	O9:H9
AUSMDU00041426	Human	2020	10	-:-
AUSMDU00034734	Human	2019	10	-:-
AUSMDU00022392	Human	2018	167	O9:H9
AUSMDU00070154	Environmental	2015	167	O89:H9
AUSMDU00057561	Human	2021	167	O89:H9
AUSMDU00065918	Human	2021	167	O89:H9
AUSMDU00049068	Human	2020	167	O9:H9
AUSMDU00037793	Environmental	2019	167	O9:H9
AUSMDU00063887	Human	2021	44	O89:H4
AUSMDU00063030	Human	2021	44	O89:H4
AUSMDU00065821	Human	2021	44	O89:H4
AUSMDU00036966	Human	2014	44	O89:H4
AUSMDU00065857	Human	2021	44	O89:H4
AUSMDU00009525	Human	2016	617	O89:H10
AUSMDU00070151	Human	2015	617	O89:H10
AUSMDU00037412	Human	2019	617	O89:H10
AUSMDU00045967	Human	2020	3075	-:H30
AUSMDU00015622	Human	2017	3075	-:H30
AUSMDU00065219	Human	2021	2967	O148:H30
AUSMDU00032107-B	Human	2019	176	O13/O129/O135:H30
AUSMDU00036956	Human	2014	6	O132:H21
AUSMDU00055313	Human	2020	361	O9:H30
AUSMDU00046812	Human	2020	361	O9:H30
AUSMDU00038261	Human	2019	361	-:H30
AUSMDU00067904	Human	2022	361	-:H30
AUSMDU00036729	Human	2019	6215	O8:H4
AUSMDU00040566	Human	2020	52	O16:H14
AUSMDU00014007	Human	2018	457	O11:H25
AUSMDU00005074	Human	2016	354	O153:H34
AUSMDU00058962	Human	2021	354	O45:H6
AUSMDU00042569	Human	2020	59	O1:H7
AUSMDU00048293	Human	2020	59	O1:H7
AUSMDU00042174	Human	2020	59	O1:H7
AUSMDU00036226	Human	2019	59	O1:H7
AUSMDU00037482	Human	2019	62	O7:H45
AUSMDU00024594	Human	2019	648	O8:H4
AUSMDU00062657	Human	2021	648	O8:H4
AUSMDU00036295	Human	2019	648	O153:H6
AUSMDU00017422	Human	2018	648	O153:H6
AUSMDU00070162	Human	2014	648	-:H6
AUSMDU00015623	Human	2018	648	O1:H6
AUSMDU00015262	Human	2018	648	O1:H6
AUSMDU00049647	Human	2020	8881	O153:H6
AUSMDU00061730	Human	2021	648	O153:H6
AUSMDU00015757	Human	2018	648	O102:H6
AUSMDU00048973	Human	2020	648	O1:H6
AUSMDU00018869	Human	2018	648	O1:H6
AUSMDU00017250	Human	2018	648	O1:H6
AUSMDU00017148	Human	2018	648	O1:H6
AUSMDU00067741	Human	2022	648	O1:H6
AUSMDU00040707	Human	2020	648	O1:H6
AUSMDU00067157	Human	2021	648	O1:H6
AUSMDU00067491	Human	2022	6870	O45:H6
AUSMDU00021465	Human	2018	648	O19:H4
AUSMDU00064954	Human	2021	624	O1:H1
AUSMDU00055337	Human	2020	967	O36:H42
AUSMDU00033913	Human	2019	4045	O143:H4
AUSMDU00016011	Human	2017	95	O2/O50:H4
AUSMDU00036826	Human	2019	1231	O18:H7
AUSMDU00040840	Human	2020	95	O18:H7
AUSMDU00070163	Human	2013	95	O1:H7
AUSMDU00003583	Human	2006	95	O1:H7
AUSMDU00005897	Human	2016	95	O2/O50:H7
AUSMDU00048172	Human	2020	95	O25:H4
AUSMDU00047971	Human	2020	12	O4:H5
AUSMDU00070155	Human	2015	12	O4:H5
AUSMDU00015786	Human	2018	12	O4:H1
AUSMDU00062334	Human	2021	12	O4:H1
AUSMDU00047057	Human	2020	12	O4:H5
AUSMDU00007300	Human	2017	127	O6:H31
AUSMDU00056447	Human	2021	127	O6:H31
AUSMDU00049087	Human	2020	127	O6:H31
AUSMDU00015282	Human	2018	127	O6:H31
AUSMDU00060937	Human	2021	-	O6:H31
AUSMDU00065125	Human	2021	127	O6:H31
AUSMDU00063771	Human	2021	372	O6:H31
AUSMDU00059769	Human	2021	372	O83:H31
AUSMDU00059239	Human	2021	73	O22:H1
AUSMDU00057044	Human	2021	73	-:H1
AUSMDU00046347	Human	2020	73	O25:H1
AUSMDU00060113	Human	2021	73	O6:H1
AUSMDU00064452	Human	2021	73	O2/O50:H1
AUSMDU00019445	Human	2018	73	O2/O50:H1
AUSMDU00048928	Human	2020	73	O2/O50:H1
AUSMDU00049335	Human	2020	73	O6:H1
AUSMDU00058854	Human	2021	73	O6:H1
AUSMDU00056648	Human	2021	73	O6:H1
AUSMDU00015790	Human	2018	73	O6:H1
AUSMDU00064920	Human	2021	73	O6:H1
AUSMDU00008502	Human	2017	135	O2:H1
AUSMDU00016018	Human	2018	569	O46:H31
AUSMDU00005057	Human	2016	1867	O77/O17/O44/O106:H27
AUSMDU00039106	Human	2019	452	O81:H27
AUSMDU00040857	Human	2020	6317	O81:H27
AUSMDU00035404	Human	2019	452	O25:H16
AUSMDU00037221	Human	2019	452	O93:H18
AUSMDU00040856	Human	2020	452	O22:H18
AUSMDU00040329	Human	2019	5292	O117/O107:H7
AUSMDU00032111	Human	2019	5292	O117/O107:H7
AUSMDU00031162	Human	2019	5292	O117/O107:H7
AUSMDU00040708	Human	2020	5292	-:H7
AUSMDU00041598	Human	2020	504	-:H7
AUSMDU00020619	Human	2018	6880	-:H7
AUSMDU00047005	Human	2020	6322	O22:H7
AUSMDU00038329	Human	2019	5282	O2/O50:H7
AUSMDU00070161	Human	2019	969	-:H7
AUSMDU00017911	Human	2018	1193	O75:H5
AUSMDU00063832	Human	2021	1193	O75:H5
AUSMDU00031764	Human	2019	1193	O75:H5
AUSMDU00066528	Human	2021	1193	O75:H5
AUSMDU00067018	Human	2021	1193	-:H5
AUSMDU00049133	Human	2020	1193	-:H5
AUSMDU00064132	Human	2021	1193	-:H5
AUSMDU00066229	Human	2021	1193	O75:H5
AUSMDU00065497	Human	2021	1193	O75:H5
AUSMDU00064987	Human	2021	1193	O75:H5
AUSMDU00064383	Human	2021	1193	O75:H5
AUSMDU00015626	Human	2018	1193	O18:H5
AUSMDU00017244	Human	2018	1193	O6:H5
AUSMDU00045277	Human	2020	1193	-:H5
AUSMDU00017140	Human	2018	1193	O75:H5
AUSMDU00039512	Human	2019	1193	O75:H5
AUSMDU00065398	Human	2021	1193	O75:H5
AUSMDU00040301	Human	2020	1193	O75:H5
AUSMDU00055259	Human	2020	1193	O75:H5
AUSMDU00045372	Human	2020	1193	O75:H5
AUSMDU00044107	Human	2020	1193	O75:H5
AUSMDU00051101	Human	2020	1193	O75:H5
AUSMDU00034480	Human	2019	1193	O75:H5
AUSMDU00051308	Human	2020	1193	O75:H5
AUSMDU00065861	Human	2021	1193	O75:H5
AUSMDU00040302	Human	2020	1193	O75:H5
AUSMDU00035097	Human	2019	1193	O75:H5
AUSMDU00056177	Human	2021	1193	O75:H5
AUSMDU00038776	Human	2019	1193	O75:H5
AUSMDU00056690	Human	2021	636	O21:H7
AUSMDU00049263	Human	2019	636	O21:H7
AUSMDU00038961	Human	2019	636	O21:H7
AUSMDU00045885	Human	2020	28	-:H6
AUSMDU00055914	Human	2021	1236	O62:H5
AUSMDU00061451	Human	2021	131	O25:H4
AUSMDU00070153	Human	2015	131	O25:H4
AUSMDU00067147	Human	2021	131	O25:H4
AUSMDU00035601	Human	2019	131	O25:H4
AUSMDU00034479	Human	2019	131	O25:H4
AUSMDU00059225	Human	2021	131	O25:H4
AUSMDU00027031	Human	2019	131	O25:H4
