Revised_Source_Niche name
Food TEA_W2_16
Food AUSMDU00070144
Food TEA_W2_50
Food SRR5512247
Food TEA_A2_59
Food TEA_A4_37
Food TEA_W4_35
Food TEA_W2_47
Food TEA_W2_31
Food TEA_C1_13
Food TEA_C2_45
Food TEA_A1_38
Food SRR4241812
Food TEA_W1_2
Food TEA_W4_30
Food TEA_C4_42
Food TEA_A2_19
Food TEA_A4_16
Food TEA_W3_73
Food TEA_A4_2
Food TEA_A1_44
Food TEA_C1_91
Food TEA_W3_57
Food TEA_A2_7
Food TEA_C4_86
Food TEA_A3_70
Food TEA_W3_62
Food TEA_A3_61
Food TEA_C4_43
Food TEA_A3_16
Food TEA_W2_83
Food TEA_A3_52
Food TEA_A2_8
Food TEA_A3_58
Food TEA_W1_66
Food TEA_A2_36
Food TEA_C4_95
Food TEA_C4_34
Food TEA_W3_24
Food TEA_C4_44
Food TEA_A3_5
Food TEA_C2_58
Food TEA_C2_34
Food TEA_A2_5
Food TEA_C4_38
Food TEA_A4_11
Food TEA_C3_70
Food TEA_C3_15
Food SRR4241819
Food TEA_C1_10
Food TEA_W3_20
Food TEA_A3_11
Food TEA_C2_44
Food SRR5512178
Food TEA_A3_74
Food TEA_C4_36
Food TEA_A3_41
Food TEA_A1_25
Food TEA_A1_14
Food SRR4241806
Food TEA_C2_22
Food TEA_A3_17
Food TEA_W2_37
Food TEA_A3_45
Food TEA_C2_106
Food TEA_W3_17
Food TEA_A4_32
Food TEA_WA14
Food SRR4241804
Food TEA_WA25
Food SRR5512151
Food TEA_C1_111
Food TEA_A3_48
Food TEA_C1_119
Food TEA_A4_29
Food TEA_C1_30
Food TEA_C4_32
Food TEA_W3_67
Food TEA_C3_30
Food TEA_C4_41
Food TEA_C2_18
Food TEA_C4_52
Food TEA_C3_65
Food TEA_A4_49
Food TEA_A2_58
Food TEA_C3_71
Food TEA_W3_63
Food TEA_W4_32
Food TEA_W2_75
Food TEA_W4_59
Food SRR5512153
Food SRR4241808
Food SRR4241809
Food TEA_W2_9
Food SRR4241817
Food TEA_C3_29
Food TEA_WA27
Food TEA_C2_38
Food TEA_W1_58
Food TEA_C4_35
Food TEA_A2_30
Food TEA_W1_33
Food TEA_W4_36
Food TEA_C2_94
Food TEA_C1_1
Food TEA_C1_51
Food TEA_A2_46
Food TEA_C3_22
Food TEA_A3_8
Food TEA_C4_85
Food TEA_A4_57
Food TEA_W4_33
Food TEA_C4_33
Food TEA_C1_110
Food TEA_A4_5
Food SRR4241810
Food TEA_W1_69
Food TEA_W4_68
Food TEA_C3_7
Food TEA_C3_10
Food SRR5512179
Food SRR5512180
Food SRR5512183
Food TEA_WA1
Food TEA_C2_53
Food TEA_A2_22
Food TEA_C2_12
Food TEA_C2_41
Food TEA_C2_110
Food TEA_C2_97
Food TEA_C2_68
Food TEA_W2_78
Food TEA_A1_28
Food TEA_W4_48
Food AusGEM_01966
