name	resistance	class_includes_CIA_res	resistance_genes_present	genes	Strain_count_of_AMR_gene_classes	Strain_MDR_status	Strain_CIA_status	Strain_count_of_AMR_genes
AUSMDU00014866	ESBL	TRUE	1	blaCTX-M-27	7	1	1	8
AUSMDU00014866	Efflux	FALSE	1	acrF*,emrD*,mdtM*	7	1	1	8
AUSMDU00014866	Quinolone	TRUE	1	gyrA_D87N,gyrA_S83L,parC_E84V,parC_S80I,parE_I529L	7	1	1	8
AUSMDU00014866	Tetracycline	FALSE	1	tet(A)	7	1	1	8
AUSMDU00014866	Sulfonamide	FALSE	1	sul1,sul2	7	1	1	8
AUSMDU00014866	Trimethoprim	FALSE	1	dfrA17	7	1	1	8
AUSMDU00014866	Streptomycin	FALSE	1	aadA5,aph(3'')-Ib,aph(6)-Id	7	1	1	8
AUSMDU00014866	Macrolide	TRUE	1	mph(A)	7	1	1	8
AUSMDU00019684	ESBL	TRUE	1	blaCTX-M-27	7	1	1	8
AUSMDU00019684	Efflux	FALSE	1	acrF*,emrD*,mdtM*	7	1	1	8
AUSMDU00019684	Quinolone	TRUE	1	gyrA_D87N,gyrA_S83L,parC_E84V,parC_S80I,parE_I529L	7	1	1	8
AUSMDU00019684	Tetracycline	FALSE	1	tet(A)	7	1	1	8
AUSMDU00019684	Sulfonamide	FALSE	1	sul1,sul2	7	1	1	8
AUSMDU00019684	Trimethoprim	FALSE	1	dfrA17	7	1	1	8
AUSMDU00019684	Streptomycin	FALSE	1	aadA5,aph(3'')-Ib,aph(6)-Id	7	1	1	8
AUSMDU00019684	Macrolide	TRUE	1	mph(A)	7	1	1	8
AUSMDU00011700	ESBL	TRUE	1	blaCTX-M-27	7	1	1	8
AUSMDU00011700	Efflux	FALSE	1	acrF*,emrD*,mdtM*	7	1	1	8
AUSMDU00011700	Quinolone	TRUE	1	gyrA_D87N,gyrA_S83L,parC_E84V,parC_S80I,parE_I529L	7	1	1	8
AUSMDU00011700	Tetracycline	FALSE	1	tet(A)	7	1	1	8
AUSMDU00011700	Sulfonamide	FALSE	1	sul1,sul2	7	1	1	8
AUSMDU00011700	Trimethoprim	FALSE	1	dfrA17	7	1	1	8
AUSMDU00011700	Streptomycin	FALSE	1	aadA5,aph(3'')-Ib,aph(6)-Id	7	1	1	8
AUSMDU00011700	Macrolide	TRUE	1	mph(A)	7	1	1	8
AUSMDU00021243	ESBL	TRUE	1	blaCTX-M-27	7	1	1	8
AUSMDU00021243	Efflux	FALSE	1	acrF*,emrD*,mdtM*	7	1	1	8
AUSMDU00021243	Quinolone	TRUE	1	gyrA_D87N,gyrA_S83L,parC_E84V,parC_S80I,parE_I529L	7	1	1	8
AUSMDU00021243	Tetracycline	FALSE	1	tet(A)	7	1	1	8
AUSMDU00021243	Sulfonamide	FALSE	1	sul1,sul2	7	1	1	8
AUSMDU00021243	Trimethoprim	FALSE	1	dfrA17	7	1	1	8
AUSMDU00021243	Streptomycin	FALSE	1	aadA5,aph(3'')-Ib,aph(6)-Id	7	1	1	8
AUSMDU00021243	Macrolide	TRUE	1	mph(A)	7	1	1	8
AUSMDU00023316	ESBL	TRUE	1	blaCTX-M-27	6	1	1	7
AUSMDU00023316	Efflux	FALSE	1	acrF*,emrD*,mdtM*	6	1	1	7
AUSMDU00023316	Quinolone	TRUE	1	gyrA_D87N,gyrA_S83L,parC_E84V,parC_S80I,parE_I529L	6	1	1	7
AUSMDU00023316	Tetracycline	FALSE	1	tet(A)	6	1	1	7
AUSMDU00023316	Sulfonamide	FALSE	1	sul2	6	1	1	7
AUSMDU00023316	Streptomycin	FALSE	1	aph(3'')-Ib,aph(6)-Id	6	1	1	7
AUSMDU00023316	Macrolide	TRUE	1	mph(A)	6	1	1	7
AUSMDU00017248	ESBL	TRUE	1	blaCTX-M-27	7	1	1	8
AUSMDU00017248	Efflux	FALSE	1	acrF*,emrD*,mdtM*	7	1	1	8
AUSMDU00017248	Quinolone	TRUE	1	gyrA_D87N,gyrA_S83L,parC_E84V,parC_S80I,parE_I529L	7	1	1	8
AUSMDU00017248	Tetracycline	FALSE	1	tet(A)	7	1	1	8
AUSMDU00017248	Sulfonamide	FALSE	1	sul1,sul2	7	1	1	8
AUSMDU00017248	Trimethoprim	FALSE	1	dfrA17	7	1	1	8
AUSMDU00017248	Streptomycin	FALSE	1	aadA5,aph(3'')-Ib,aph(6)-Id	7	1	1	8
AUSMDU00017248	Macrolide	TRUE	1	mph(A)	7	1	1	8
SRR11341647	ESBL	TRUE	1	blaCTX-M-27	2	0	1	3
SRR11341647	Efflux	FALSE	1	acrF*,emrD*,mdtM*	2	0	1	3
SRR11341647	Quinolone	TRUE	1	gyrA_D87N,gyrA_S83L,parC_E84V,parC_S80I,parE_I529L	2	0	1	3
AUSMDU00016141	ESBL	TRUE	1	blaCTX-M-27	7	1	1	8
AUSMDU00016141	Efflux	FALSE	1	acrF*,emrD*,mdtM*	7	1	1	8
AUSMDU00016141	Quinolone	TRUE	1	gyrA_D87N,gyrA_S83L,parC_E84V,parC_S80I,parE_I529L	7	1	1	8
AUSMDU00016141	Tetracycline	FALSE	1	tet(A)	7	1	1	8
AUSMDU00016141	Sulfonamide	FALSE	1	sul1,sul2	7	1	1	8
AUSMDU00016141	Trimethoprim	FALSE	1	dfrA17	7	1	1	8
AUSMDU00016141	Streptomycin	FALSE	1	aadA5,aph(3'')-Ib,aph(6)-Id	7	1	1	8
AUSMDU00016141	Macrolide	TRUE	1	mph(A)	7	1	1	8
AUSMDU00048375	ESBL	TRUE	1	blaCTX-M-27	7	1	1	8
AUSMDU00048375	Efflux	FALSE	1	acrF*,emrD*,mdtM*	7	1	1	8
AUSMDU00048375	Quinolone	TRUE	1	gyrA_D87N,gyrA_S83L,parC_E84V,parC_S80I,parE_I529L	7	1	1	8
AUSMDU00048375	Tetracycline	FALSE	1	tet(A)	7	1	1	8
AUSMDU00048375	Sulfonamide	FALSE	1	sul1,sul2	7	1	1	8
