tea_name,name
TEA_10_1_R6,ESCO.0216.01193
TEA_11_1_Ti6,ESCO.0216.01169
TEA_12_1_Ti12,ESCO.0216.00924
TEA_12_2_Ti13,ESCO.0216.00207
TEA_12_GNB_003,ESCO.0216.00357
TEA_12_GNB_025,ESCO.0216.00799
TEA_12_GNB_036,ESCO.0216.00251
TEA_12_GNB_213,ESCO.0216.01402
TEA_12_GNB_311,ESCO.0216.01310
TEA_13_1_C11,ESCO.0216.00782
TEA_13_2_TC5,ESCO.0216.00933
TEA_1330_2_1_WA_Bloom,ESCO.0216.01009
TEA_13_3_TC6,ESCO.0216.00840
TEA_1_3_Ti10,ESCO.0216.01175
TEA_14_1_R13,ESCO.0216.01039
TEA_14_2_R14,ESCO.0216.00999
TEA_14_4_DC7,ESCO.0216.01141
TEA_15_5_C3,ESCO.0216.00842
TEA_15_7_TC2,ESCO.0216.01067
TEA_16_1_Ti5,ESCO.0216.01168
TEA_16_2_Si18,ESCO.0216.00980
TEA_16_3_C13,ESCO.0216.01049
TEA_16_4_Ti11,ESCO.0216.01120
TEA_16_5_Ti20,ESCO.0216.01223
TEA_17_1_R20,ESCO.0216.01346
TEA_17_2_DC14,ESCO.0216.01414
TEA_18_1_DC10_redo,ESCO.0216.00850
TEA_18_2_AC4,ESCO.0216.00809
TEA_18_3_Ti5,ESCO.0216.00338
TEA_18_4_Ti12,ESCO.0216.00351
TEA_1863_3_1_WA_Bloom,ESCO.0216.00506
TEA_19_1_TC4,ESCO.0216.00363
TEA_19_1_Ti7,ESCO.0216.00272
TEA_19_2_TC6,ESCO.0216.00327
TEA_20_1_TC6,ESCO.0216.00895
TEA_20_2_TC13,ESCO.0216.00324
TEA_20_3_TC12,ESCO.0216.00593
TEA_20_5_R7,ESCO.0216.00546
TEA_2099_1_1,ESCO.0216.00676
TEA_2099_1_2,ESCO.0216.00665
TEA_2099_2_1,ESCO.0216.00407
TEA_2106_2_1,ESCO.0216.00765
TEA_21_1_TC7,ESCO.0216.00856
TEA_21_2_C8,ESCO.0216.00917
TEA_2_1_P20,ESCO.0216.01083
TEA_22_1_Ti17,ESCO.0216.00744
TEA_22_1_Ti19,ESCO.0216.00540
TEA_22_4_Ti18,ESCO.0216.00376
TEA_23_1_TC4,ESCO.0216.00822
TEA_23_2_AC12,ESCO.0216.01003
TEA_23_2_Ti8,ESCO.0216.01108
TEA_23_3_Ti9,ESCO.0216.00785
TEA_23_4_R13,ESCO.0216.00844
TEA_24_1_Si1,ESCO.0216.01090
TEA_242_3_Brisbane,ESCO.0216.00609
TEA_242_6_Brisbane,ESCO.0216.00418
