Revised_Source_Niche name
Food TEA_C3_70
Food TEA_A1_14
Food TEA_W2_56
Food TEA_W2_4
Food TEA_A1_28
Food TEA_A4_27
Food TEA_A3_67
Food TEA_C1_51
Food TEA_W2_28
Food TEA_C3_8
Food TEA_C2_106
Food TEA_W2_68
Food TEA_W4_20
Food TEA_C2_115
Food TEA_W4_48
Food TEA_A1_49
Food TEA_W1_36
Food TEA_C1_15
Food TEA_W1_80
Food TEA_W1_69
Food TEA_A2_2
Food TEA_WA5
Food TEA_C3_19
Food TEA_A2_14
Food TEA_C3_65
Food TEA_A2_22
Food TEA_A1_32
Food TEA_A3_48
Food TEA_C2_14
Food TEA_W1_79
Food TEA_W4_34
Food TEA_W4_17
Food TEA_C3_28
Food TEA_C2_102
Food TEA_C1_95
Food TEA_W4_30
Food TEA_A2_32
Food TEA_WA14
Food TEA_C2_93
Food TEA_C3_7
Food TEA_W2_76
Food TEA_A4_3
Food TEA_W4_59
Food TEA_W4_35
Food TEA_C3_29
Food TEA_A2_31
Food TEA_C1_4
Food TEA_C4_33
Food TEA_C1_90
Food TEA_C2_38
Food TEA_C3_27
Food TEA_C3_40
Food TEA_W1_65
Food TEA_C1_119
Food TEA_C2_103
Food TEA_C3_71
Food TEA_C4_53
Food TEA_W4_37
Food TEA_A2_5
Food TEA_C1_102
Food TEA_C3_10
Food TEA_A4_9
Food TEA_W4_36
Food TEA_C1_111
Food TEA_C3_22
Food TEA_C4_93
Food TEA_W2_50
Food TEA_C3_36
Food TEA_C2_108
Food TEA_C1_38
Food TEA_C1_101
Food TEA_A2_49
Food TEA_A4_12
Food TEA_C1_110
Food TEA_A3_5
Food TEA_W2_16
Food TEA_W3_2
Food TEA_W1_58
Food TEA_W2_79
Food TEA_A3_62
Food TEA_W2_47
Food TEA_C2_53
Food TEA_W3_35
Food TEA_A3_9
Food TEA_A1_20
Food TEA_C4_95
Food TEA_W2_78
Food TEA_C3_72
Food TEA_C2_97
Food TEA_C4_86
Food TEA_WA17
Food TEA_C2_13
Food TEA_C4_19
Food TEA_C3_2
Food TEA_C2_45
Food TEA_A4_29
Food TEA_A1_66
Food TEA_A4_5
Food TEA_W4_55
Food TEA_A3_45
Food TEA_C4_39
Food TEA_W3_73
Food TEA_C4_56
Food TEA_A4_35
Food TEA_A2_40
Food TEA_WA25
Food TEA_A2_10
Food TEA_W2_41
Food TEA_C3_6
Food TEA_C2_41
Food TEA_A2_41
Food TEA_W3_61
Food TEA_C3_30
Food TEA_A2_15
Food TEA_C2_27
Food TEA_A3_16
Food TEA_A1_40
Food TEA_C1_123
Food TEA_W1_33
Food TEA_A2_7
Food TEA_C4_2
Food TEA_A2_19
Food AusGEM_01966
Food TEA_C3_43
Food TEA_A3_32
Food AusGEM_01967
Food TEA_W3_24
Food TEA_C2_68
Food TEA_C2_94
Food TEA_C4_38
Food TEA_A3_17
Food TEA_WA27
Food TEA_C2_100
Food TEA_C2_58
Food TEA_C3_13
Food TEA_C4_44
Food TEA_A4_37
Food TEA_A4_14
Food TEA_A2_35
Food TEA_A3_41
Food TEA_C4_42
Food TEA_W1_76
Food TEA_C4_65
Food TEA_W4_39
Food TEA_A4_61
Food TEA_C1_72
Food TEA_A1_29
Food TEA_C2_46
Food TEA_WA1
Food TEA_W2_9
Food TEA_W4_68
Food TEA_C4_97
Food TEA_A1_30
Food TEA_W3_20
Food AusGEM_01965
Food TEA_A3_8
Food TEA_A1_31
Food TEA_C4_85
Food TEA_W2_49
Food TEA_W4_61
Food TEA_W4_32
Food TEA_C1_10
Food TEA_W4_22
Food TEA_W3_63
Food TEA_A3_61
Food TEA_W3_32
Food TEA_WA26
Food TEA_W1_57b
Food TEA_C4_36
Food TEA_C2_110
Food TEA_C4_48
Food TEA_W1_2
Food TEA_C3_11
Food TEA_W2_37
Food TEA_A1_44
Food TEA_A4_15
Food TEA_W1_66
Food TEA_C1_13
Food TEA_A4_28b
Food TEA_C4_17
Food TEA_C1_46
Food TEA_A4_2
Food TEA_A4_50
Food TEA_W2_31
Food TEA_C1_36
Food TEA_W3_72
Food TEA_C4_8
Food TEA_C2_44
Food TEA_A1_25
Food TEA_A2_30
Food TEA_W2_80
Food TEA_C1_61
Food TEA_WA2
Food TEA_C1_33
Food TEA_C4_32
Food TEA_C3_59
Food TEA_A3_58
Food TEA_C3_3
Food TEA_C4_34
Food TEA_A1_33
Food TEA_W3_33
Food TEA_C4_100
Food TEA_A3_60
Food TEA_C4_35
Food TEA_W2_83
Food TEA_W2_75
Food TEA_W1_67
Food TEA_A3_57
Food TEA_C4_24
Food TEA_A3_31
Food TEA_A4_11
Food TEA_C1_121
Food TEA_A3_70
Food TEA_C2_12
Food TEA_A2_58
Food TEA_A2_17
Food TEA_C3_37
Food TEA_C2_18
Food TEA_C2_19
Food TEA_A1_38
Food TEA_A3_64
Food TEA_W2_51
Food TEA_C1_66
Food TEA_C4_52
Food TEA_C3_15
Food TEA_A2_59
Food TEA_W4_33
Food TEA_C4_89
Food TEA_C1_79
Food TEA_C3_12
Food AusGEM_01963
Food TEA_C2_117
Food TEA_C2_22
Food TEA_W2_77
Food AUSMDU00070144
Food TEA_A2_8
Food TEA_A1_1
Food TEA_A4_16
Food TEA_C4_41
Food TEA_C1_1
Food TEA_A2_36
Food TEA_W3_62
Food TEA_A3_74
Food TEA_A4_32
Food TEA_A1_42
Food TEA_C1_84
Food TEA_C1_89
Food TEA_W2_53
Food TEA_W3_67
Food TEA_A2_3
Food TEA_C2_5
Food TEA_A4_33
Food TEA_A3_52
Food TEA_A3_36
Food TEA_A2_33
Food TEA_A1_12
Food TEA_W3_17
Food TEA_W2_87
Food TEA_A4_57
Food TEA_C3_14
Food TEA_W3_59
Food AusGEM_01964
Food TEA_W1_37
Food TEA_A2_47
Food TEA_W4_1
Food TEA_C2_116
Food TEA_C4_94
Food TEA_A3_23
Food TEA_A2_46
Food TEA_W1_32
Food TEA_C2_34
Food TEA_C4_43
Food TEA_C3_39
Food TEA_C1_91
Food TEA_W4_40
Food TEA_A1_45
Food TEA_W4_8
Food TEA_C1_3
Food TEA_A4_49
Food TEA_C1_30
Food TEA_C4_21
Food TEA_C3_9
Food TEA_A3_18
Food TEA_A3_22
Food TEA_C2_16
Environmental TEA_E8769
Environmental TEA_E6387
Environmental TEA_E4486
Environmental TEA_E2516
Environmental TEA_E5627
Environmental TEA_E7641
Environmental AUSMDU00004632
Environmental TEA_E5555
Environmental TEA_E7041
Environmental TEA_E2521
Environmental TEA_E2814
Environmental TEA_E5261
Environmental TEA_E3094
Environmental TEA_E1428
Environmental TEA_E8496
Environmental TEA_E5260
Environmental TEA_E9576
Environmental TEA_E2025
Environmental TEA_E8084
Environmental TEA_E8612
Environmental TEA_E9650
Environmental TEA_E6042
Environmental TEA_E5897
Environmental TEA_E4679
Environmental TEA_E2026
Environmental TEA_E7648
Environmental TEA_E1460
Environmental TEA_E7618
Environmental TEA_E6882
Environmental TEA_E8792
Environmental TEA_E5008
Environmental TEA_E7143
Environmental TEA_E5895
Environmental TEA_E2408
Environmental TEA_H1513216
Environmental TEA_E2014
Environmental TEA_E8707
Environmental TEA_E5472
Environmental TEA_E5415
Environmental TEA_E2051
Environmental TEA_E9855
Environmental TEA_E5060
Environmental TEA_E5499
Environmental TEA_E3628
Environmental AUSMDU00070154
Environmental TEA_E8495
Environmental TEA_E2039
Environmental TEA_E9567
Environmental TEA_E7188
Environmental TEA_E2873
Environmental TEA_E7147
Environmental TEA_E9345
Environmental TEA_E4068
Environmental TEA_E5598
Environmental TEA_E8647
Environmental TEA_E2506
Environmental TEA_E600
Environmental TEA_E4259
Environmental TEA_E7861
Environmental TEA_E258
Environmental TEA_E2042
Environmental TEA_E7253
Environmental TEA_E6082
Environmental TEA_E8797
Environmental TEA_E9141
Environmental TEA_E4453
Environmental TEA_E6705
Environmental TEA_E8784
Environmental TEA_E9472
Environmental TEA_E2482
Environmental TEA_E8732
Environmental TEA_E5948
Environmental TEA_E8619
Environmental AUSMDU00037794
Environmental TEA_E7591
Environmental TEA_E9254
Environmental TEA_E6003
Environmental TEA_E4970
