name	Locus	Identity	Coverage	Alignment Length	Allele Length	Gaps	Allele	Simple Allele	IncF RST
HG796354	FIA	-	-	-	-	-	-	-	F-:A-:B-
HG796354	FIB	-	-	-	-	-	-	-	F-:A-:B-
HG796354	FIC	-	-	-	-	-	-	-	F-:A-:B-
HG796354	FII	-	-	-	-	-	-	-	F-:A-:B-
HG796354	FIIK	-	-	-	-	-	-	-	F-:A-:B-
HG796354	FIIS	-	-	-	-	-	-	-	F-:A-:B-
HG796354	FIIY	-	-	-	-	-	-	-	F-:A-:B-
NC_011736	FIA	-	-	-	-	-	-	-	F-:A-:B-
NC_011736	FIB	-	-	-	-	-	-	-	F-:A-:B-
NC_011736	FIC	-	-	-	-	-	-	-	F-:A-:B-
NC_011736	FII	-	-	-	-	-	-	-	F-:A-:B-
NC_011736	FIIK	-	-	-	-	-	-	-	F-:A-:B-
NC_011736	FIIS	-	-	-	-	-	-	-	F-:A-:B-
NC_011736	FIIY	-	-	-	-	-	-	-	F-:A-:B-
MG049738	FIA	-	-	-	-	-	-	-	F-:A-:B-
MG049738	FIB	-	-	-	-	-	-	-	F-:A-:B-
MG049738	FIC	-	-	-	-	-	-	-	F-:A-:B-
MG049738	FII	-	-	-	-	-	-	-	F-:A-:B-
MG049738	FIIK	-	-	-	-	-	-	-	F-:A-:B-
MG049738	FIIS	-	-	-	-	-	-	-	F-:A-:B-
MG049738	FIIY	-	-	-	-	-	-	-	F-:A-:B-
CP011006	FIA	-	-	-	-	-	-	-	F-:A-:B-
CP011006	FIB	-	-	-	-	-	-	-	F-:A-:B-
CP011006	FIC	-	-	-	-	-	-	-	F-:A-:B-
CP011006	FII	-	-	-	-	-	-	-	F-:A-:B-
CP011006	FIIK	-	-	-	-	-	-	-	F-:A-:B-
CP011006	FIIS	-	-	-	-	-	-	-	F-:A-:B-
CP011006	FIIY	-	-	-	-	-	-	-	F-:A-:B-
CP034813	FIA	-	-	-	-	-	-	-	F-:A-:B-
CP034813	FIB	-	-	-	-	-	-	-	F-:A-:B-
CP034813	FIC	-	-	-	-	-	-	-	F-:A-:B-
CP034813	FII	-	-	-	-	-	-	-	F-:A-:B-
CP034813	FIIK	-	-	-	-	-	-	-	F-:A-:B-
CP034813	FIIS	-	-	-	-	-	-	-	F-:A-:B-
CP034813	FIIY	-	-	-	-	-	-	-	F-:A-:B-
CP032609	FIA	-	-	-	-	-	-	-	F-:A-:B-
CP032609	FIB	-	-	-	-	-	-	-	F-:A-:B-
CP032609	FIC	-	-	-	-	-	-	-	F-:A-:B-
CP032609	FII	-	-	-	-	-	-	-	F-:A-:B-
CP032609	FIIK	-	-	-	-	-	-	-	F-:A-:B-
