sample_id	num_contigs	size	gc	md5	rep_type(s)	rep_type_accession(s)	relaxase_type(s)	relaxase_type_accession(s)	mpf_type	mpf_type_accession(s)	orit_type(s)	orit_accession(s)	predicted_mobility	mash_nearest_neighbor	mash_neighbor_distance	mash_neighbor_identification	primary_cluster_id	secondary_cluster_id	predicted_host_range_overall_rank	predicted_host_range_overall_name	observed_host_range_ncbi_rank	observed_host_range_ncbi_name	reported_host_range_lit_rank	reported_host_range_lit_name	associated_pmid(s)
AusGEM_00001:AA176	11	159222	50.67704211729535	09f369f5beb322679e61b1ce9ac2506c	IncFIA,IncFIC,IncFIB	000136__AP014877_00014,AY458016,000095__NZ_CP014273_00094	MOBF	NC_017627_00068	MPF_F	NC_022651_00077,NC_010409_00124,NC_019094_00090,NC_017639_00094,NC_007675_00027,NC_017639_00100,NC_018966_00040,NC_010488_00021,NC_009837_00049,NC_013437_00116,08-5333_00200	MOBF	AF242367	conjugative	KU578032	0.00357808	Escherichia coli	AA176	AH856	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	11254626; 19482926; 15781495; 20851899; 16257053
AusGEM_00001:AA281	35	99336	51.27043569300153	46e492b7513b2547b23f3a3fd70b475a	IncK2/Z	KC340959	-	-	MPF_I	NC_022992_00102,NC_014843_00033,NC_007365_00035,NC_011754_00109,NC_007365_00033,NC_011754_00087,NC_022371_00084,NC_012487_00131,NC_014843_00047	-	-	non-mobilizable	CP033633	0.0202797	Escherichia coli	AA281	AI107	family	Enterobacteriaceae	family	Enterobacteriaceae	genus	Escherichia	30761100
AusGEM_00001:AG659	2	10696	35.57404637247569	b95c9fe0ecddae60b7fe93701ee74b8f	-	-	-	-	-	-	-	-	non-mobilizable	CP024095	0.0517248	Escherichia coli	AG659	-	genus	Escherichia	genus	Escherichia	-	-	-
AusGEM_00001:AA979	1	6161	49.440025969810094	4601fdab3fb512fdf20749d4bb54c580	rep_cluster_2131	CP010218_00004	MOBQ	NC_019783_00003	-	-	-	-	mobilizable	CP018986	0.00774383	Escherichia coli	AA979	AJ481	family	Enterobacteriaceae	family	Enterobacteriaceae	genus	Escherichia	25389419
AusGEM_00001:AA971	1	5803	42.16784421850767	28e05c36083036e7d4e79ae17bfc3b69	rep_cluster_2141	HQ201416_00001	MOBQ	NC_019062_00002	-	-	-	-	mobilizable	CP043022	0.00105797	Escherichia coli	AA971	AJ469	family	Enterobacteriaceae	family	Enterobacteriaceae	-	-	-
AusGEM_00001:AA163	1	3461	55.09968217278243	49969a08e033959c91ab9a6e61476bb7	-	-	MOBP	NC_014003_00004	-	-	MOBP	NZ_CP011065	mobilizable	CP039602	0.000409992	Salmonella enterica subsp. enterica	AA163	AH811	family	Enterobacteriaceae	family	Enterobacteriaceae	-	-	-
AusGEM_00001:AB241	1	2084	55.854126679462574	97a18bfedd62fb08be956861fa2d0968	ColpVC	JX133088	-	-	-	-	MOBP	AB027308	mobilizable	NC_021927	0.00417861	Salmonella enterica subsp. enterica serovar Enteritidis	AB241	AJ946	order	Enterobacterales	order	Enterobacterales	-	-	-
AusGEM_00001:AB686	1	1616	51.17574257425743	42946b02ef60a59f5d0bdd81058b459e	Col(MG828)	NC_008486	-	-	-	-	MOBP	NC_002145	mobilizable	KX009021	0.000532603	Escherichia coli O25b:H4-ST131	AB686	AK565	order	Enterobacterales	order	Enterobacterales	genus	Escherichia	30761100
AusGEM_00002:AA175	8	143717	48.935059874614694	7f9aae567214972afba6c58670b22f87	IncFIB,rep_cluster_2244	000096__NC_019117_00097,CP033091_00053	MOBF	NC_017627_00068	MPF_F	NC_009837_00049,NC_010488_00021,NC_018966_00040,NC_017639_00100,NC_007675_00027,NC_017639_00094,NC_019094_00090,NC_010409_00124,NC_022651_00077,NC_013437_00116,08-5333_00200	MOBF	KT325596	conjugative	LT985319	0.00789262	Escherichia coli	AA175	AH851	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	11254626; 30761100; 19482926; 15781495; 20851899; 16257053
AusGEM_00002:AC247	5	20541	56.696363370819334	209f17225dfca56e7f067ca3514e7071	-	-	-	-	-	-	-	-	non-mobilizable	CP039301	0.0437856	Escherichia coli	AC247	-	class	Gammaproteobacteria	class	Gammaproteobacteria	-	-	-
AusGEM_00002:AC293	2	8152	51.39842983316977	a095c7a7568e1424bd4f054e1db50457	-	-	-	-	-	-	-	-	non-mobilizable	CP042486	0.0483865	Klebsiella pneumoniae	AC293	-	family	Enterobacteriaceae	family	Enterobacteriaceae	-	-	-
AusGEM_00002:AB685	1	1630	51.717791411042946	9ce0ccb05a01c4638484a96ee8d92c64	Col(MG828)	NC_008486	-	-	-	-	MOBP,MOB_unknown	AB027308,GQ900404	mobilizable	CP024465	0.000434439	Klebsiella pneumoniae	AB685	AK562	order	Enterobacterales	order	Enterobacterales	genus	Escherichia	30761100
AusGEM_00003:AA281	12	126206	50.860497916105416	8eadff0a175d867b12a9239f0be37502	IncK2/Z	KJ484640	MOBP,MOBP	CP023144_00056,NC_021819_00066	MPF_I	NC_007365_00035,NC_011754_00109,NC_007365_00033,NC_022371_00084,NC_012487_00131,NC_022992_00098,NC_014843_00033,NC_014843_00047,NC_011754_00087	MOBP	CP018984	conjugative	CP033633	0.0112201	Escherichia coli	AA281	AI107	family	Enterobacteriaceae	family	Enterobacteriaceae	genus	Escherichia	30761100
AusGEM_00003:AA176	34	147120	49.16530723219141	39310ef1f2aee0a28167984686edf9f4	IncFIA,IncFIB,IncFIC,rep_cluster_2244	000136__AP014877_00014,000095__NZ_CP014273_00094,AP001918,CP033091_00053	MOBF	CP023471_00010	MPF_F	NC_017639_00094,NC_019094_00090,NC_010409_00124,NC_022651_00077,NC_010719_00096,NC_010488_00021,08-5333_00200,NC_019094_00068,NC_017639_00100,NC_014615_00033	MOBF	CP000430	conjugative	MN053930	0.00985499	Escherichia coli	AA176	AH855	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	10773089; 11254626; 25389419; 19482926; 19897651; 15781495; 24247128; 20851899; 22511964; 16257053
AusGEM_00003:AB685	1	1410	51.06382978723404	92c1a960af4cac0735de232b81016120	-	-	-	-	-	-	MOBP,MOB_unknown	KX712120,GQ900404	mobilizable	CP023825	0.0215695	Escherichia coli	AB685	AK563	family	Enterobacteriaceae	family	Enterobacteriaceae	-	-	-
AusGEM_00003:AB690	2	2337	42.447582370560546	5ad8f9309e4ae23e5529fc950c0423df	-	-	-	-	-	-	-	-	non-mobilizable	CP005932	0.0185579	Escherichia coli APEC IMT5155	AB690	AK570	genus	Escherichia	genus	Escherichia	-	-	-
AusGEM_00004:AA739	10	298720	48.72455811462239	1c32eb5d8ba3f91a1af8a10b4f4f51fb	IncHI2A,IncP,rep_cluster_1088	BX664015,000164__NC_022344_00310,000340__KU353730	MOBH,MOBP	NC_012555_00231,CP010360_00062	MPF_F	NC_005211_00200,NC_005211_00207,NC_005211_00005,NC_009838_00006,NC_022344_00321,NC_022344_00326,NC_022344_00330,NC_015727_00490,NC_005211_00012,NC_005211_00030,NC_021845_00017	MOBH	NC_017500	conjugative	CP027144	0.00865422	Enterobacter hormaechei subsp. hoffmannii	AA739	AJ059	order	Enterobacterales	order	Enterobacterales	-	-	-
