name	strain_name	ST	Revised_Source_Niche	Revised_Source_Type	Intestinal_or_Extraintestinal	Collection_Year	Collection	State	Biosample number	Assembly accession	SRA Accession	Bio Project ID	IncF_RST	cgMLST cluster (40 allelic distance)	PopPunk Cluster (Clusters merged by PopPunk are separated by underscores)																																																				
AusGEM_00001	AVC103	95	Livestock	Avian	Extraintestinal	2009	AusGEM	VIC	SAMN09579990	NA	SRR7469868	PRJNA479542	F2:A-:B1	329	9_1394																																																				
AusGEM_00002	AVC105	973	Livestock	Avian	Extraintestinal	2009	AusGEM	NSW	SAMN09579991	NA	SRR7469865	PRJNA479542	F24:A-:B8	234	123																																																				
AusGEM_00003	AVC106	8398	Livestock	Avian	Extraintestinal	2009	AusGEM	NA	SAMN09579992	NA	SRR7469866	PRJNA479542	F82/C4:A-:B1	Unclustered (Singleton)	79																																																				
AusGEM_00004	AVC107	1163	Livestock	Avian	Extraintestinal	2009	AusGEM	NA	SAMN09579993	NA	SRR7469863	PRJNA479542	F76:A-:B1	Unclustered (Singleton)	385																																																				
AusGEM_00005	AVC109	1303	Livestock	Avian	Extraintestinal	2009	AusGEM	NA	SAMN09579994	NA	SRR7469864	PRJNA479542	F35:A-:B-	Unclustered (Singleton)	1021_1244_1299_1348																																																				
AusGEM_00006	AVC10	429	Livestock	Avian	Extraintestinal	2007	AusGEM	NSW	SAMN09579961	NA	SRR7469881	PRJNA479542	C4:A-:B20	866	68																																																				
AusGEM_00007	AVC111	354	Livestock	Avian	Extraintestinal	2009	AusGEM	VIC	SAMN09579995	NA	SRR7469861	PRJNA479542	F-:A1:B1	Unclustered (Singleton)	76_548																																																				
AusGEM_00008	AVC113	155	Livestock	Avian	Extraintestinal	2009	AusGEM	VIC	SAMN09579996	NA	SRR7469862	PRJNA479542	F24:A-:B1	Unclustered (Singleton)	11																																																				
AusGEM_00009	AVC11	429	Livestock	Avian	Extraintestinal	2007	AusGEM	NSW	SAMN09579962	NA	SRR7469882	PRJNA479542	C4:A-:B20	866	68																																																				
AusGEM_00010	AVC123	10	Livestock	Avian	Extraintestinal	2009	AusGEM	NSW	SAMN09579997	NA	SRR7469876	PRJNA479542	F33:A-:B-	Unclustered (Singleton)	5_1020_1036_1160																																																				
AusGEM_00011	AVC126	350	Livestock	Avian	Extraintestinal	2009	AusGEM	NSW	SAMN09579998	NA	SRR7469875	PRJNA479542	C4:A-:B1	Unclustered (Singleton)	233																																																				
AusGEM_00012	AVC12	350	Livestock	Avian	Extraintestinal	2007	AusGEM	VIC	SAMN09579963	NA	SRR7469883	PRJNA479542	C4:A-:B1	Unclustered (Singleton)	233																																																				
AusGEM_00014	AVC148	350	Livestock	Avian	Extraintestinal	2009	AusGEM	NA	SAMN09579999	NA	SRR7469874	PRJNA479542	C4:A-:B1	269	233																																																				
AusGEM_00015	AVC149	350	Livestock	Avian	Extraintestinal	2009	AusGEM	NA	SAMN09580000	NA	SRR7469873	PRJNA479542	C4:A-:B1	269	233																																																				
